,순위,제목
0,1,AI 2024
1,2,된다! 하루 만에 끝내는 챗GPT 활용법
2,3,조코딩의 챗GPT API를 활용한 수익형 웹 서비스 만들기
3,4,진짜 챗GPT 활용법
4,5,프롬프트 엔지니어링으로 인공지능 제대로 일 시키기
5,6,혼자 공부하는 머신러닝 + 딥러닝
6,7,미드저니 프롬프트 마스터 가이드
7,8,당장 써먹는 AI 프롬프트 사전
8,9,비전공자도 이해할 수 있는 AI 지식 (챗GPT 수록 개정판)
9,10,챗GPT로 만드는 주식 & 암호화폐 자동매매 시스템
10,11,AI 이후의 세계
11,12,Do it! 챗GPT & 파이썬으로 AI 직원 만들기
12,13,연봉 5억 N잡러가 되기 위한 AI 무자본 창업 50선
13,14,"키워드로 완성하는 AI 아트 테크닉 with 미드저니, 니지저니"
14,15,업무와 일상을 업시키는 16가지 생성형 AI 활용
15,16,생성형 AI 업무 혁신
16,17,"생성형 AI 빅3 챗GPT, 미드저니, 스테이블 디퓨전"
17,18,"GPT-4, ChatGPT, 라마인덱스, 랭체인을 활용한 인공지능 프로그래밍"
18,19,된다! 생성형 AI 사진 & 이미지 만들기
19,20,실전에 바로 적용할 수 있는 파이썬 데이터 분석 & 시각화 + 웹 대시보드 제작하기
20,21,가상 면접 사례로 배우는 머신러닝 시스템 설계 기초
21,22,챗GPT : GPT 노마드의 탄생
22,23,챗GPT 교사 마스터 플랜
23,24,GPT-4를 활용한 인공지능 앱 개발
24,25,샘 올트먼의 스타트업 플레이북
25,26,생성형 AI 프롬프트 디자인
26,27,러닝 레이
27,28,된다! 미드저니
28,29,챗GPT : 마침내 찾아온 특이점
29,30,사이버네틱스
30,31,챗GPT 기회를 잡는 사람들
31,32,챗GPT 영어 혁명
32,33,인공지능을 위한 수학
33,34,AI가 바꾸는 학교 수업 챗GPT 교육 활용
34,35,챗GPT & AI 31가지 실전 활용
35,36,스테이블 디퓨전으로 만드는 게임 그래픽
36,37,모두의 한국어 텍스트 분석 with 파이썬
37,38,이진경 장병탁 선을 넘는 인공지능
38,39,진짜 하루만에 끝내는 AI 활용
39,40,AICE 인공지능 활용능력 평가 : AICE FUTURE 3급
40,41,챗GPT 슬기로운 일상생활의 자동화
41,42,생성형 AI 챗GPT 300% 활용법
42,43,HRD 실무자를 위한 ChatGPT 활용 가이드
43,44,챗GPT 사용설명서
44,45,만들면서 배우는 파이썬과 40개의 작품들
45,46,챗GPT와 글쓰기
46,47,만들면서 배우는 생성 AI
47,48,프롬프트 엔지니어링
48,49,나는 오렌지로 데이터 분석한다
49,50,챗GPT를 활용한 40가지 파이썬 프로그램 만들기
